AGE,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,CNT_CHILDREN,CNT_FAM_MEMBERS,FLAG_OWN_CAR,FLAG_OWN_REALTY,OCCUPATION_TYPE,EMPLOYMENT_YEARS,Approval_Status
32,427500.0,Working,Higher education,Civil marriage,Rented apartment,0,2.0,Y,Y,,12,Approved
32,427500.0,Working,Higher education,Civil marriage,Rented apartment,0,2.0,Y,Y,,12,Approved
58,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Security staff,3,Approved
52,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1.0,N,Y,Sales staff,8,Approved
52,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1.0,N,Y,Sales staff,8,Approved
52,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1.0,N,Y,Sales staff,8,Approved
52,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1.0,N,Y,Sales staff,8,Approved
61,283500.0,Pensioner,Higher education,Separated,House / apartment,0,1.0,N,Y,,-1000,Approved
61,283500.0,Pensioner,Higher education,Separated,House / apartment,0,1.0,N,Y,,-1000,Approved
61,283500.0,Pensioner,Higher education,Separated,House / apartment,0,1.0,N,Y,,-1000,Approved
46,270000.0,Working,Higher education,Married,House / apartment,0,2.0,Y,Y,Accountants,2,Approved
46,270000.0,Working,Higher education,Married,House / apartment,0,2.0,Y,Y,Accountants,2,Approved
48,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,3,Approved
48,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,3,Approved
48,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,3,Approved
48,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,3,Approved
48,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,3,Approved
48,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Laborers,3,Approved
29,130500.0,Working,Incomplete higher,Married,House / apartment,0,2.0,Y,N,Accountants,3,Approved
29,130500.0,Working,Incomplete higher,Married,House / apartment,0,2.0,Y,N,Accountants,3,Approved
27,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Laborers,4,Approved
27,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Laborers,4,Approved
27,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,2.0,N,Y,Laborers,4,Approved
30,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,2.0,N,Y,,4,Approved
30,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,2.0,N,Y,,4,Approved
34,270000.0,Working,Secondary / secondary special,Married,House / apartment,3,5.0,Y,Y,Laborers,3,Approved
34,270000.0,Working,Secondary / secondary special,Married,House / apartment,3,5.0,Y,Y,Laborers,3,Approved
32,405000.0,Commercial associate,Higher education,Married,House / apartment,1,3.0,N,Y,Managers,5,Approved
32,405000.0,Commercial associate,Higher education,Married,House / apartment,1,3.0,N,Y,Managers,5,Approved
32,405000.0,Commercial associate,Higher education,Married,House / apartment,1,3.0,N,Y,Managers,5,Approved
32,405000.0,Commercial associate,Higher education,Married,House / apartment,1,3.0,N,Y,Managers,5,Approved
32,405000.0,Commercial associate,Higher education,Married,House / apartment,1,3.0,N,Y,Managers,5,Approved
32,405000.0,Commercial associate,Higher education,Married,House / apartment,1,3.0,N,Y,Managers,5,Approved
56,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Drivers,12,Approved
56,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Drivers,12,Approved
56,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Drivers,12,Approved
56,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Drivers,12,Approved
56,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Drivers,12,Approved
56,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Drivers,12,Approved
56,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Drivers,12,Approved
56,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Drivers,12,Approved
43,135000.0,Working,Secondary / secondary special,Married,House / apartment,2,4.0,Y,Y,Laborers,8,Approved
43,135000.0,Working,Secondary / secondary special,Married,House / apartment,2,4.0,Y,Y,Laborers,8,Approved
43,135000.0,Working,Secondary / secondary special,Married,House / apartment,2,4.0,Y,Y,Laborers,8,Approved
43,135000.0,Working,Secondary / secondary special,Married,House / apartment,2,4.0,Y,Y,Laborers,8,Approved
43,135000.0,Working,Secondary / secondary special,Married,House / apartment,2,4.0,Y,Y,Laborers,8,Approved
43,135000.0,Working,Secondary / secondary special,Married,House / apartment,2,4.0,Y,Y,Laborers,8,Approved
43,135000.0,Working,Secondary / secondary special,Married,House / apartment,2,4.0,Y,Y,Laborers,8,Approved
43,135000.0,Working,Secondary / secondary special,Married,House / apartment,2,4.0,Y,Y,Laborers,8,Approved
43,135000.0,Working,Secondary / secondary special,Married,House / apartment,2,4.0,Y,Y,Laborers,8,Approved
43,135000.0,Working,Secondary / secondary special,Married,House / apartment,2,4.0,Y,Y,Laborers,8,Approved
43,135000.0,Working,Secondary / secondary special,Married,House / apartment,2,4.0,Y,Y,Laborers,8,Approved
43,135000.0,Working,Secondary / secondary special,Married,House / apartment,2,4.0,Y,Y,Laborers,8,Approved
43,135000.0,Working,Secondary / secondary special,Married,House / apartment,2,4.0,Y,Y,Laborers,8,Approved
43,135000.0,Working,Secondary / secondary special,Married,House / apartment,2,4.0,Y,Y,Laborers,8,Approved
43,135000.0,Working,Secondary / secondary special,Married,House / apartment,2,4.0,Y,Y,Laborers,8,Approved
44,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,1,3.0,N,Y,Core staff,19,Approved
44,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,1,3.0,N,Y,Core staff,19,Approved
45,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,2.0,Y,Y,Security staff,14,Approved
34,126000.0,Commercial associate,Higher education,Married,House / apartment,2,4.0,N,Y,Managers,4,Approved
34,126000.0,Commercial associate,Higher education,Married,House / apartment,2,4.0,N,Y,Managers,4,Approved
34,126000.0,Commercial associate,Higher education,Married,House / apartment,2,4.0,N,Y,Managers,4,Approved
34,126000.0,Commercial associate,Higher education,Married,House / apartment,2,4.0,N,Y,Managers,4,Approved
34,126000.0,Commercial associate,Higher education,Married,House / apartment,2,4.0,N,Y,Managers,4,Approved
34,126000.0,Commercial associate,Higher education,Married,House / apartment,2,4.0,N,Y,Managers,4,Approved
34,126000.0,Commercial associate,Higher education,Married,House / apartment,2,4.0,N,Y,Managers,4,Approved
34,126000.0,Commercial associate,Higher education,Married,House / apartment,2,4.0,N,Y,Managers,4,Approved
34,126000.0,Commercial associate,Higher education,Married,House / apartment,2,4.0,N,Y,Managers,4,Approved
34,126000.0,Commercial associate,Higher education,Married,House / apartment,2,4.0,N,Y,Managers,4,Approved
55,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1.0,N,Y,,-1000,Approved
46,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,1.0,N,Y,Core staff,3,Approved
46,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,1.0,N,Y,Core staff,3,Approved
46,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,1.0,N,Y,Core staff,3,Approved
46,247500.0,Commercial associate,Higher education,Separated,Rented apartment,0,1.0,N,Y,Core staff,3,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
42,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,1.0,N,Y,Laborers,8,Approved
